Date,Close/Last,Volume,Open,variacion,cuenta financiera,
08/22/2025,$25.85,481784,$25.56,0.0113,"$12,454,116.40",
08/21/2025,$25.56,378628,$25.61,-0.0120,"$9,677,731.68",
08/20/2025,$25.87,293118,$25.49,0.0094,"$7,582,962.66",
08/19/2025,$25.63,465129,$25.48,0.0071,"$11,921,256.27",
08/18/2025,$25.45,436397,$26.26,-0.0242,"$11,106,303.65",
08/15/2025,$26.08,614439,$26.19,-0.0038,"$16,024,569.12",
08/14/2025,$26.18,519356,$26.50,-0.0158,"$13,596,740.08",
08/13/2025,$26.60,1004594,$27.90,-0.0507,"$26,722,200.40",
08/12/2025,$28.02,1311441,$26.07,0.0642,"$36,746,576.82",
08/11/2025,$26.33,651220,$25.70,0.0201,"$17,146,622.60",
08/08/2025,$25.81,327653,$25.40,0.0145,"$8,456,723.93",
08/07/2025,$25.44,325092,$24.43,0.0452,"$8,270,340.48",
08/06/2025,$24.34,713664,$24.50,-0.0150,"$17,370,581.76",
08/05/2025,$24.71,503228,$25.52,-0.0306,"$12,434,763.88",
08/04/2025,$25.49,761707,$25.60,-0.0004,"$19,415,911.43",
08/01/2025,$25.50,481573,$25.54,-0.0008,"$12,280,111.50",
07/31/2025,$25.52,541223,$25.50,-0.0016,"$13,812,010.96",
07/30/2025,$25.56,478634,$25.91,-0.0078,"$12,233,885.04",
07/29/2025,$25.76,751503,$24.98,0.0375,"$19,358,717.28",
07/28/2025,$24.83,767916,$25.55,-0.0305,"$19,067,354.28",
07/25/2025,$25.61,215429,$25.59,-0.0019,"$5,517,136.69",
07/24/2025,$25.66,608850,$25.80,-0.0035,"$15,623,091.00",
07/23/2025,$25.75,861957,$25.72,0.0000,"$22,195,392.75",
07/22/2025,$25.75,683267,$26.25,-0.0164,"$17,594,125.25",
07/21/2025,$26.18,521362,$26.14,0.0061,"$13,649,257.16",
07/18/2025,$26.02,1212273,$26.32,-0.0106,"$31,543,343.46",
07/17/2025,$26.30,658849,$26.44,-0.0049,"$17,327,728.70",
07/16/2025,$26.43,976894,$26.79,-0.0064,"$25,819,308.42",
07/15/2025,$26.60,1674421,$24.42,0.0879,"$44,539,598.60",
07/14/2025,$24.45,605520,$24.60,-0.0049,"$14,804,964.00",
07/11/2025,$24.57,731060,$25.50,-0.0376,"$17,962,144.20",
07/10/2025,$25.53,357526,$25.28,0.0135,"$9,127,638.78",
07/09/2025,$25.19,705384,$25.60,-0.0221,"$17,768,622.96",
07/08/2025,$25.76,544387,$26.38,-0.0239,"$14,023,409.12",
07/07/2025,$26.39,334342,$27.55,-0.0483,"$8,823,285.38",
07/03/2025,$27.73,274240,$27.98,-0.0022,"$7,604,675.20",
07/02/2025,$27.79,1074158,$27.54,0.0065,"$29,850,850.82",
07/01/2025,$27.61,773962,$27.85,-0.0054,"$21,369,090.82",
06/30/2025,$27.76,1126468,$27.45,0.0109,"$31,270,751.68",
06/27/2025,$27.46,555579,$27.42,0.0011,"$15,256,199.34",
06/26/2025,$27.43,563457,$27.24,0.0085,"$15,455,625.51",
06/25/2025,$27.20,824713,$26.91,0.0199,"$22,432,193.60",
06/24/2025,$26.67,635375,$27.13,-0.0122,"$16,945,451.25",
06/23/2025,$27.00,307089,$26.49,0.0247,"$8,291,403.00",
06/20/2025,$26.35,540147,$25.86,0.0309,"$14,232,873.45",
06/18/2025,$25.56,328167,$26.36,-0.0241,"$8,387,948.52",
06/17/2025,$26.19,314470,$26.43,-0.0110,"$8,235,969.30",
06/16/2025,$26.48,330921,$26.21,0.0118,"$8,762,788.08",
06/13/2025,$26.17,385180,$26.83,-0.0235,"$10,080,160.60",
06/12/2025,$26.80,425569,$26.52,0.0071,"$11,405,249.20",
06/11/2025,$26.61,734561,$26.28,0.0091,"$19,546,668.21",
06/10/2025,$26.37,479160,$26.52,-0.0026,"$12,635,449.20",
06/09/2025,$26.44,272313,$27.11,-0.0308,"$7,199,955.72",
06/06/2025,$27.28,629236,$27.43,-0.0044,"$17,165,558.08",
06/05/2025,$27.40,477116,$27.50,0.0037,"$13,072,978.40",
06/04/2025,$27.30,812384,$29.15,-0.0504,"$22,178,083.20",
06/03/2025,$28.75,778533,$28.75,-0.0107,"$22,382,823.75",
06/02/2025,$29.06,375526,$30.12,0.0069,"$10,912,785.56",
05/30/2025,$28.86,749735,$29.25,-0.0150,"$21,637,352.10",
05/29/2025,$29.30,266321,$29.80,-0.0101,"$7,803,205.30",
05/28/2025,$29.60,295448,$29.71,-0.0084,"$8,745,260.80",
05/27/2025,$29.85,384850,$29.80,0.0017,"$11,487,772.50",
05/23/2025,$29.80,278109,$29.57,0.0003,"$8,287,648.20",
05/22/2025,$29.79,421073,$30.38,-0.0185,"$12,543,764.67",
05/21/2025,$30.35,341152,$31.27,-0.0276,"$10,353,963.20",
05/20/2025,$31.21,678987,$31.00,0.0100,"$21,191,184.27",
05/19/2025,$30.90,583006,$30.12,0.0215,"$18,014,885.40",
05/16/2025,$30.25,504141,$30.33,0.0017,"$15,250,265.25",
05/15/2025,$30.20,672849,$29.70,0.0080,"$20,320,039.80",
05/14/2025,$29.96,561587,$28.96,0.0443,"$16,825,146.52",
05/13/2025,$28.69,576248,$27.75,0.0335,"$16,532,555.12",
05/12/2025,$27.76,580289,$27.89,-0.0050,"$16,108,822.64",
05/09/2025,$27.90,695352,$29.01,-0.0190,"$19,400,320.80",
05/08/2025,$28.44,1573853,$30.00,-0.0820,"$44,760,379.32",
05/07/2025,$30.98,652312,$30.15,-0.0010,"$20,208,625.76",
05/06/2025,$31.01,410360,$30.46,0.0036,"$12,725,263.60",
05/05/2025,$30.90,456844,$30.50,0.0168,"$14,116,479.60",
05/02/2025,$30.39,1061693,$30.40,0.0086,"$32,264,850.27",
05/01/2025,$30.13,433270,$30.60,-0.0141,"$13,054,425.10",
04/30/2025,$30.56,384005,$30.13,0.0092,"$11,735,192.80",
04/29/2025,$30.28,578930,$30.51,0.0007,"$17,530,000.40",
04/28/2025,$30.26,370873,$30.25,0.0023,"$11,222,616.98",
04/25/2025,$30.19,564304,$30.05,0.0047,"$17,036,337.76",
04/24/2025,$30.05,556588,$29.22,0.0405,"$16,725,469.40",
04/23/2025,$28.88,753316,$28.40,0.0292,"$21,755,766.08",
04/22/2025,$28.06,692880,$27.43,0.0416,"$19,442,212.80",
04/21/2025,$26.94,1094901,$26.44,0.0366,"$29,496,632.94",
04/17/2025,$25.99,718242,$25.73,0.0089,"$18,667,109.58",
04/16/2025,$25.76,552742,$26.77,-0.0356,"$14,238,633.92",
04/15/2025,$26.71,394837,$27.20,-0.0187,"$10,546,096.27",
04/14/2025,$27.22,641676,$27.60,0.0015,"$17,466,420.72",
04/11/2025,$27.18,614124,$26.65,0.0199,"$16,691,890.32",
04/10/2025,$26.65,838692,$25.30,0.0083,"$22,351,141.80",
04/09/2025,$26.43,1382931,$24.74,0.0640,"$36,550,866.33",
04/08/2025,$24.84,727543,$25.53,-0.0008,"$18,072,168.12",
04/07/2025,$24.86,927806,$23.97,-0.0162,"$23,065,257.16",
04/04/2025,$25.27,1192048,$27.49,-0.1001,"$30,123,052.96",
04/03/2025,$28.08,916849,$26.62,0.0305,"$25,745,119.92",
04/02/2025,$27.25,453081,$26.42,0.0160,"$12,346,457.25",
04/01/2025,$26.82,726433,$26.58,0.0052,"$19,482,933.06",
03/31/2025,$26.68,752944,$26.05,-0.0022,"$20,088,545.92",
03/28/2025,$26.74,891703,$26.76,-0.0085,"$23,844,138.22",
