"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2025","53.90","53.18","53.96","53.18","10.95M","1.09%"
"04/01/2025","53.32","52.54","53.49","52.54","2.62M","1.50%"
"03/31/2025","52.53","52.62","52.63","52.18","6.26M","-1.19%"
"03/28/2025","53.16","53.30","53.30","52.82","6.19M","-0.75%"
"03/27/2025","53.56","52.83","53.64","52.78","1.78M","1.29%"
"03/26/2025","52.88","53.44","53.44","52.77","1.26M","-0.68%"
"03/25/2025","53.24","52.93","53.33","52.92","1.80M","0.89%"
"03/24/2025","52.77","52.91","53.21","52.64","3.15M","0.04%"
"03/21/2025","52.75","53.00","53.06","52.60","11.31M","-0.81%"
"03/20/2025","53.18","53.24","53.24","52.77","2.96M","0.04%"
"03/19/2025","53.16","52.75","53.18","52.75","1.93M","0.62%"
"03/18/2025","52.83","52.75","53.12","52.71","2.92M","0.44%"
"03/14/2025","52.60","52.44","52.66","52.16","1.18M","1.29%"
"03/13/2025","51.93","51.91","52.36","51.75","4.93M","-0.35%"
"03/12/2025","52.11","51.68","52.24","51.42","5.62M","1.05%"
"03/11/2025","51.57","51.70","52.50","51.28","12.76M","-0.50%"
"03/10/2025","51.83","52.60","52.64","51.50","8.58M","-1.97%"
"03/07/2025","52.87","52.80","52.90","52.00","17.61M","0.06%"
"03/06/2025","52.84","52.55","53.16","52.55","10.23M","0.11%"
"03/05/2025","52.78","52.60","52.80","52.40","2.76M","0.63%"
"03/04/2025","52.45","52.00","52.78","51.16","7.05M","0.48%"
"03/03/2025","52.20","52.30","53.42","52.03","13.24M","-0.51%"
"02/28/2025","52.47","52.49","52.89","52.33","18.30M","-0.40%"
"02/27/2025","52.68","53.22","53.25","52.47","14.08M","-1.11%"
"02/26/2025","53.27","53.26","53.47","52.85","13.62M","0.34%"
"02/25/2025","53.09","53.59","53.59","53.00","6.81M","-1.15%"
"02/24/2025","53.71","53.50","53.91","53.50","2.95M","-0.15%"
"02/21/2025","53.79","54.44","54.44","53.49","5.25M","-1.01%"
"02/20/2025","54.34","54.11","54.45","54.00","2.53M","0.52%"
"02/19/2025","54.06","54.19","54.38","53.99","5.04M","-0.79%"
"02/18/2025","54.49","54.15","54.68","54.01","3.86M","0.81%"
"02/17/2025","54.05","54.00","55.25","53.75","145.06K","-0.11%"
"02/14/2025","54.11","54.00","54.32","54.00","2.82M","-0.17%"
"02/13/2025","54.20","54.20","54.41","54.00","4.25M","0.17%"
"02/12/2025","54.11","53.49","54.29","53.11","10.59M","1.14%"
"02/11/2025","53.50","52.94","53.65","52.51","5.00M","1.06%"
"02/10/2025","52.94","52.90","53.26","52.90","4.32M","0.25%"
"02/07/2025","52.81","52.65","52.87","52.65","1.30M","0.25%"
"02/06/2025","52.68","51.34","52.81","51.34","3.02M","2.09%"
"02/05/2025","51.60","51.93","51.93","51.46","3.79M","-0.58%"
"02/04/2025","51.90","51.50","52.07","51.50","5.24M","1.13%"
"01/31/2025","51.32","51.75","52.37","51.17","2.93M","-1.33%"
"01/30/2025","52.01","52.00","52.30","51.94","1.43M","0.68%"
"01/29/2025","51.66","51.50","51.70","51.12","2.33M","0.17%"
"01/28/2025","51.57","51.55","51.90","51.50","1.28M","-0.37%"
"01/27/2025","51.76","51.33","51.94","51.17","5.84M","0.72%"
"01/24/2025","51.39","51.50","51.54","51.11","2.55M","0.57%"
"01/23/2025","51.10","51.01","51.40","50.50","4.78M","0.22%"
"01/22/2025","50.99","50.47","51.40","50.42","4.89M","0.95%"
"01/21/2025","50.51","49.95","50.61","49.95","5.80M","0.62%"
"01/20/2025","50.20","50.00","50.41","49.93","848.96K","0.42%"
"01/17/2025","49.99","50.00","50.43","49.95","3.99M","-0.02%"
"01/16/2025","50.00","50.04","50.20","49.95","3.00M","-0.58%"
"01/15/2025","50.29","50.15","50.38","50.00","2.44M","0.76%"
"01/14/2025","49.91","49.83","50.19","49.80","2.71M","0.08%"
"01/13/2025","49.87","49.74","49.91","49.50","1.26M","0.40%"
"01/10/2025","49.67","49.73","49.83","49.48","8.48M","-0.14%"
"01/09/2025","49.74","49.73","50.59","49.40","5.99M","0.20%"
"01/08/2025","49.64","50.39","50.39","49.50","4.93M","-1.00%"
"01/07/2025","50.14","49.28","50.27","49.28","6.70M","1.23%"
"01/06/2025","49.53","48.96","50.09","48.96","1.58M","1.16%"
"01/03/2025","48.96","49.56","49.60","48.92","13.45M","-1.71%"
"01/02/2025","49.81","49.56","50.04","49.56","4.08M","0.46%"
"12/31/2024","49.58","48.75","49.66","48.75","5.01M","1.31%"
"12/30/2024","48.94","49.60","49.60","48.84","6.93M","-1.33%"
"12/27/2024","49.60","50.06","50.37","49.59","1.75M","-0.44%"
"12/26/2024","49.82","49.97","50.05","49.71","906.10K","0.38%"
"12/24/2024","49.63","49.80","49.80","49.62","510.78K","-0.30%"
"12/23/2024","49.78","49.91","49.91","49.50","3.23M","-0.34%"
"12/20/2024","49.95","49.56","50.18","49.56","7.35M","0.30%"
"12/19/2024","49.80","50.34","50.50","49.56","15.02M","-1.07%"
"12/18/2024","50.34","50.76","50.98","50.25","1.86M","-0.94%"
