Date,Open,High,Low,Close,Volume
04/01/2025,557.45,562.91,553.69,561.07,49.32M
03/31/2025,549.83,560.71,546.87,559.39,95.33M
03/28/2025,565.53,566.27,555.07,555.66,71.66M
03/27/2025,567.18,570.9,564.94,567.08,42.16M
03/26/2025,575.19,576.33,567.19,568.59,52.23M
03/25/2025,575.3,576.41,573.69,575.46,38.36M
03/24/2025,570.8,575.15,570.2,574.08,58.77M
03/21/2025,559.28,564.89,558.03,563.98,83.76M
03/20/2025,563.33,570.57,562.6,565.49,62.96M
03/19/2025,562.83,570.95,561.63,567.13,66.56M
03/18/2025,564.8,565.02,559.06,561.02,66.04M
03/17/2025,562.79,569.71,562.35,567.15,49.01M
03/14/2025,556.11,563.83,551.49,562.81,62.66M
03/13/2025,558.49,559.1,549.68,551.42,74.08M
03/12/2025,562.17,563.11,553.69,558.87,69.59M
03/11/2025,559.4,564.02,552.02,555.92,88.10M
03/10/2025,567.59,569.54,555.59,560.58,99.33M
03/07/2025,570.9,577.39,565.63,575.92,81.16M
03/06/2025,575.48,580.17,570.12,572.71,80.09M
03/05/2025,576.69,584.88,573.08,583.06,71.23M
03/04/2025,579.71,585.39,572.25,576.86,109.65M
03/03/2025,596.18,597.34,579.9,583.77,74.25M
02/28/2025,585.56,594.72,582.44,594.18,88.74M
02/27/2025,596.85,598.02,584.65,585.05,74.20M
02/26/2025,595.93,599.58,591.86,594.54,43.32M
02/25/2025,597.15,597.89,589.56,594.24,58.27M
02/24/2025,602.02,603.03,596.49,597.21,50.74M
02/21/2025,610.16,610.3,599.47,599.94,76.52M
02/20/2025,611.54,611.68,607.02,610.38,36.55M
02/19/2025,610.08,613.23,609.56,612.93,31.01M
02/18/2025,610.88,611.49,608.38,611.49,26.75M
02/14/2025,609.94,610.99,609.07,609.7,26.91M
02/13/2025,604.48,609.94,603.2,609.73,40.92M
02/12/2025,599.2,604.55,598.51,603.36,45.08M
02/11/2025,602.55,605.86,602.43,605.31,30.06M
02/10/2025,604.03,605.5,602.74,604.85,26.05M
02/07/2025,606.89,608.13,600.05,600.77,50.79M
02/06/2025,605.99,606.45,602.63,606.32,35.77M
